96.9.69.164:53281|Cambodia|Phnom Penh|Phnom Penh
45.70.84.36:9292|Brazil|Sao Paulo|Santo Antonio do Aracangua
112.78.162.186:8080|Indonesia|Jakarta|Jakarta
197.248.184.157:53281|Kenya|Nairobi Province|Nairobi
190.90.22.93:999|Colombia|Departamento de Arauca|Saravena
103.150.226.118:8080|Indonesia|Riau|Jadirejo
103.147.247.15:8080|Indonesia|West Java|Balaraja
31.10.2.149:3128|Russia|Moscow|Moscow
45.5.68.82:999|Peru|Lima|Lima
84.205.17.234:8080|Poland|West Pomerania|Szczecinek
185.32.6.131:8090|Poland|West Pomerania|Szczecin
204.195.136.34:80|United States|Florida|Miami Beach
113.176.81.31:55443|Vietnam|Ho Chi Minh|Ho Chi Minh City
13.229.107.106:80|?|?|?
78.37.24.148:8080|Russia|Novgorod Oblast|Valday
181.129.70.82:46752|Colombia|Antioquia|Medellín
159.89.199.136:3128|Singapore|Central Singapore|Singapore
190.92.67.210:999|Honduras|Departamento de Francisco Morazan|Tegucigalpa
91.107.15.221:53281|Russia|Moscow Oblast|Lyubertsy
161.22.34.142:999|Venezuela|Mérida|Tovar Municipality
190.120.251.26:999|Venezuela|Carabobo|Valencia
125.26.155.80:8080|Thailand|Suphanburi|Doembang Nangbuat
134.0.63.134:8000|Albania|Tirana|Tirana
192.162.193.243:36910|Russia|Yaroslavl Oblast|Uglich
202.137.121.109:8080|Philippines|Davao|Davao City
186.96.158.213:999|Mexico|Sonora|Hermosillo
152.169.106.145:8080|Argentina|Neuquen|Neuquén
200.69.74.166:6996|Colombia|Departamento de Narino|La Union
68.64.250.38:8080|United States|Texas|Irving
201.184.145.58:999|Colombia|Antioquia|El Carmen de Viboral
168.196.215.16:9999|Brazil|Bahia|Ibirapitanga
158.69.67.129:5566|United States|Ohio|Cleveland
80.244.230.86:8080|Russia|Moscow|Moscow
180.183.212.81:8080|Thailand|Chon Buri|Bang Lamung
45.229.33.114:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
170.244.210.110:999|Ecuador|Provincia del Guayas|Milagro
85.25.91.161:5566|Germany|North Rhine-Westphalia|Bonn
194.114.128.149:61213|Russia|Krasnodarskiy Kray|Sochi
116.212.155.229:41890|Cambodia|Phnom Penh|Phnom Penh
